"";"Statistik_Code";"Statistik_Label";"Tabelle";"Jahr";"AGS";"AGS_Label";"Merkmal";"Merkmal_Label";"Anzahl"
"1";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14511";"Chemnitz, kreisfreie Stadt";"Insgesamt";"Insgesamt";"221.03"
"2";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14521";"Erzgebirgskreis";"Insgesamt";"Insgesamt";"1827.93"
"3";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14522";"Mittelsachsen, Landkreis";"Insgesamt";"Insgesamt";"2116.85"
"4";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14523";"Vogtlandkreis";"Insgesamt";"Insgesamt";"1412.41"
"5";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14524";"Zwickau, Landkreis";"Insgesamt";"Insgesamt";"949.78"
"6";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14612";"Dresden, kreisfreie Stadt";"Insgesamt";"Insgesamt";"328.49"
"7";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14625";"Bautzen, Landkreis";"Insgesamt";"Insgesamt";"2395.59"
"8";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14626";"Görlitz, Landkreis";"Insgesamt";"Insgesamt";"2111.41"
"9";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14627";"Meißen, Landkreis";"Insgesamt";"Insgesamt";"1454.59"
"10";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14628";"Sächsische Schweiz-Osterzgebirge, Landkreis";"Insgesamt";"Insgesamt";"1654.2"
"11";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14713";"Leipzig, kreisfreie Stadt";"Insgesamt";"Insgesamt";"297.8"
"12";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14729";"Leipzig, Landkreis";"Insgesamt";"Insgesamt";"1651.26"
