"";"Statistik_Code";"Statistik_Label";"Tabelle";"Jahr";"AGS";"AGS_Label";"Merkmal";"Merkmal_Label";"Wert";"Wert_Code";"Wert_Label"
"1";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14511";"Chemnitz, kreisfreie Stadt";"Insgesamt";"Insgesamt";221,03;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"2";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14521";"Erzgebirgskreis";"Insgesamt";"Insgesamt";1827,93;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"3";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14522";"Mittelsachsen, Landkreis";"Insgesamt";"Insgesamt";2116,85;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"4";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14523";"Vogtlandkreis";"Insgesamt";"Insgesamt";1412,41;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"5";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14524";"Zwickau, Landkreis";"Insgesamt";"Insgesamt";949,78;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"6";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14612";"Dresden, kreisfreie Stadt";"Insgesamt";"Insgesamt";328,49;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"7";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14625";"Bautzen, Landkreis";"Insgesamt";"Insgesamt";2395,59;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"8";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14626";"Görlitz, Landkreis";"Insgesamt";"Insgesamt";2111,41;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"9";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14627";"Meißen, Landkreis";"Insgesamt";"Insgesamt";1454,59;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"10";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14628";"Sächsische Schweiz-Osterzgebirge, Landkreis";"Insgesamt";"Insgesamt";1654,2;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"11";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14713";"Leipzig, kreisfreie Stadt";"Insgesamt";"Insgesamt";297,8;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"12";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14729";"Leipzig, Landkreis";"Insgesamt";"Insgesamt";1651,26;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"13";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2021";"14730";"Nordsachsen, Landkreis";"Insgesamt";"Insgesamt";2028,56;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"14";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14511";"Chemnitz, kreisfreie Stadt";"Insgesamt";"Insgesamt";221,03;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"15";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14521";"Erzgebirgskreis";"Insgesamt";"Insgesamt";1827,94;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"16";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14522";"Mittelsachsen, Landkreis";"Insgesamt";"Insgesamt";2116,86;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"17";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14523";"Vogtlandkreis";"Insgesamt";"Insgesamt";1412,41;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"18";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14524";"Zwickau, Landkreis";"Insgesamt";"Insgesamt";949,78;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"19";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14612";"Dresden, kreisfreie Stadt";"Insgesamt";"Insgesamt";328,48;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"20";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14625";"Bautzen, Landkreis";"Insgesamt";"Insgesamt";2395,6;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"21";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14626";"Görlitz, Landkreis";"Insgesamt";"Insgesamt";2111,41;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"22";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14627";"Meißen, Landkreis";"Insgesamt";"Insgesamt";1454,59;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"23";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14628";"Sächsische Schweiz-Osterzgebirge, Landkreis";"Insgesamt";"Insgesamt";1654,19;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"24";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14713";"Leipzig, kreisfreie Stadt";"Insgesamt";"Insgesamt";297,8;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"25";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14729";"Leipzig, Landkreis";"Insgesamt";"Insgesamt";1651,27;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"26";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2020";"14730";"Nordsachsen, Landkreis";"Insgesamt";"Insgesamt";2028,56;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"27";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14511";"Chemnitz, kreisfreie Stadt";"Insgesamt";"Insgesamt";221,05;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"28";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14521";"Erzgebirgskreis";"Insgesamt";"Insgesamt";1827,91;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"29";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14522";"Mittelsachsen, Landkreis";"Insgesamt";"Insgesamt";2116,85;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"30";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14523";"Vogtlandkreis";"Insgesamt";"Insgesamt";1412,42;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"31";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14524";"Zwickau, Landkreis";"Insgesamt";"Insgesamt";949,78;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"32";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14612";"Dresden, kreisfreie Stadt";"Insgesamt";"Insgesamt";328,48;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"33";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14625";"Bautzen, Landkreis";"Insgesamt";"Insgesamt";2395,6;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"34";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14626";"Görlitz, Landkreis";"Insgesamt";"Insgesamt";2111,41;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"35";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14627";"Meißen, Landkreis";"Insgesamt";"Insgesamt";1454,59;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"36";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14628";"Sächsische Schweiz-Osterzgebirge, Landkreis";"Insgesamt";"Insgesamt";1654,19;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"37";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14713";"Leipzig, kreisfreie Stadt";"Insgesamt";"Insgesamt";297,8;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"38";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14729";"Leipzig, Landkreis";"Insgesamt";"Insgesamt";1651,28;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"39";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2019";"14730";"Nordsachsen, Landkreis";"Insgesamt";"Insgesamt";2028,56;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"40";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2018";"14511";"Chemnitz, kreisfreie Stadt";"Insgesamt";"Insgesamt";221,05;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"41";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2018";"14521";"Erzgebirgskreis";"Insgesamt";"Insgesamt";1827,91;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"42";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2018";"14522";"Mittelsachsen, Landkreis";"Insgesamt";"Insgesamt";2116,85;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"43";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2018";"14523";"Vogtlandkreis";"Insgesamt";"Insgesamt";1412,42;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"44";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2018";"14524";"Zwickau, Landkreis";"Insgesamt";"Insgesamt";949,78;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
"45";"11111";"Feststellung des Gebietsstandes";"11111-01-01-4";"2018";"14612";"Dresden, kreisfreie Stadt";"Insgesamt";"Insgesamt";328,48;"FLC006__Gebietsflaeche__qkm";"Gebietsfläche"
